,title,category,url,episodes,aired,ended
0,Manga Revue Haru,movie,https://anidb.net/anime/12866,1,??.06.1931,??.06.1931
1,Adauchi Karasu,movie,https://anidb.net/anime/6937,1,1934-03-20,1934-03-20
2,Tarou-san no Kisha,movie,https://anidb.net/anime/6703,1,1929-06-18,1929-06-18
3,Sora no Momotarou,movie,https://anidb.net/anime/5935,1,1931-01-10,1931-01-10
4,Doubutsu Tonarigumi,movie,https://anidb.net/anime/11105,1,1941-01-22,1941-01-22
5,Hanawa Hekonai Kappa Matsuri,movie,https://anidb.net/anime/6965,1,??.??.1917,??.??.1917
6,Kobutori (1929),movie,https://anidb.net/anime/6702,1,1929-10-14,1929-10-14
7,Gang to Odoriko,movie,https://anidb.net/anime/6938,1,1934-03-20,1934-03-20
8,Kangaroo no Tanjoubi,movie,https://anidb.net/anime/6729,1,??.02.1941,??.02.1941
9,?,movie,https://anidb.net/anime/12876,1,??.??.1932,??.??.1932
10,Imokawa Mukuzo: Genkanban no Maki,movie,https://anidb.net/anime/4219,1,??.01.1917,??.01.1917
11,Karita Boushi,movie,https://anidb.net/anime/6909,1,1941-08-12,1941-08-12
12,Osaru no Sankichi: Totsugeki Tai,movie,https://anidb.net/anime/6577,1,1934-03-24,1934-03-24
13,Manga Roba,movie,https://anidb.net/anime/12853,1,??.??.1930,??.??.1930
14,Felix no Mei Tantei,movie,https://anidb.net/anime/12871,1,??.??.1932,??.??.1932
15,Dekoboko Shin Gachou: Meian no Shippai,movie,https://anidb.net/anime/7115,1,??.02.1917,??.02.1917
16,Yashinomi,movie,https://anidb.net/anime/6890,1,1947-06-05,1947-06-05
17,"Omocha-Bako Series, Dai-3-Wa: Ehon 1936-nen",movie,https://anidb.net/anime/5957,1,1934-04-13,1934-04-13
18,Chamebou Shin Gachou: Nomi Fuufu Shikaeshi no Maki,movie,https://anidb.net/anime/7114,1,1917-04-28,1917-04-28
19,Dekobou no Jidousha Ryokou,movie,https://anidb.net/anime/6570,1,??.??.1930,??.??.1930
20,Maabou no Daikyousou,movie,https://anidb.net/anime/6724,1,??.??.1936,??.??.1936
21,Kisha no Hattatsu,movie,https://anidb.net/anime/12880,1,??.??.1932,??.??.1932
22,Genroku Koi Moyou: Sankichi to Osayo,movie,https://anidb.net/anime/6850,1,1934-06-23,1934-06-23
23,Imokawa Mukuzo: Chuugaeri no Maki,movie,https://anidb.net/anime/12122,1,??.05.1917,??.05.1917
24,Maabou no Shiken Hikou,movie,https://anidb.net/anime/6962,1,??.??.1942,??.??.1942
25,Suteneko Tora-chan,movie,https://anidb.net/anime/6888,1,1947-09-25,1947-09-25
26,Taiiku Day,movie,https://anidb.net/anime/6691,1,??.??.1932,??.??.1932
27,Oira no Yakyuu,movie,https://anidb.net/anime/6715,1,??.03.1930,??.03.1930
28,Saru to Kani no Gassen,movie,https://anidb.net/anime/5384,1,1917-05-20,1917-05-20
29,Kyoudai Koguma,movie,https://anidb.net/anime/12851,1,??.??.1932,??.??.1932
30,Dankichi-jima no Olympic Taikai,movie,https://anidb.net/anime/6711,1,??.??.1932,??.??.1932
31,Maabou no Tekketsu Rikusentai,movie,https://anidb.net/anime/6902,1,1942-01-01,1942-01-01
32,Muku no Ki no Hanashi,movie,https://anidb.net/anime/6889,1,1947-09-25,1947-09-25
33,Tengu Taiji,movie,https://anidb.net/anime/6741,1,1934-06-26,1934-06-26
34,Oira no Ski,movie,https://anidb.net/anime/6842,1,1930-07-03,1930-07-03
