title,category,url,episodes,aired,ended
84 Taekwon V,movie,https://anidb.net/anime/10250,1,03.08.1984,03.08.1984
A-Jang.com,series,https://anidb.net/anime/12050,13,22.11.2001,14.02.2002
Aachi wa Ssipak,movie,https://anidb.net/anime/4904,1,28.06.2006,28.06.2006
Alarm,none,https://anidb.net/anime/8036,1,26.06.2009,26.06.2009
Annyeong Jaduya,series,https://anidb.net/anime/12590,20,18.07.2011,13.12.2011
Annyeong Jaduya 2,series,https://anidb.net/anime/12794,30,19.09.2012,06.02.2013
Annyeong Jaduya 3 Special,series,https://anidb.net/anime/12795,13,09.11.2015,01.02.2016
Annyeong Totobi,series,https://anidb.net/anime/13525,104,20.07.2011,25.09.2013
"Annyeong, Tirano",movie,https://anidb.net/anime/14069,1,14.08.2019,14.08.2019
Badaui Jeonseol Jangbogo,series,https://anidb.net/anime/8441,26,01.02.2002,02.08.2002
Balgwanghaneun Hyeondaesa,movie,https://anidb.net/anime/11185,1,??.07.2014,??.07.2014
Bandoe Sareoriratda,movie,https://anidb.net/anime/13708,1,25.01.2018,25.01.2018
Barnacle Lou,series,https://anidb.net/anime/9715,39,24.08.2009,18.11.2009
Beompeoking Jaepeo,none,https://anidb.net/anime/9716,TBC,??.??.2004,??.??.2004
Bogeul Bogeul Bomulseon,movie,https://anidb.net/anime/10990,1,25.07.2007,25.07.2007
Bollogi Iyagi,none,https://anidb.net/anime/11559,1,??.??.2003,??.??.2003
Bulg-eunmae,movie,https://anidb.net/anime/1264,1,05.08.1995,05.08.1995
Bulsajo roboteu Pinikseu-King,movie,https://anidb.net/anime/8950,1,20.01.1984,20.01.1984
Byeolnala Samchongsa,movie,https://anidb.net/anime/5321,1,21.07.1979,21.07.1979
Byulbyul Iyagi,movie,https://anidb.net/anime/6767,1,23.09.2005,23.09.2005
Byulbyul Iyagi 2,special,https://anidb.net/anime/9264,1,17.04.2008,17.04.2008
Card Wang Mix Master,series,https://anidb.net/anime/10246,39,04.10.2005,18.07.2006
