title,category,url,episodes,aired,ended
Bloody Bunny,series,https://anidb.net/anime/11386,26,19.07.2012,-
Hong Hai`er: Juezhan Huoyanshan,movie,https://anidb.net/anime/4364,1,05.08.2005,05.08.2005
Hudie Meng - Liang Shanbo yu Zhu Yingtai,movie,https://anidb.net/anime/6753,1,31.12.2003,31.12.2003
Jianzhen Da he shang,movie,https://anidb.net/anime/13235,1,07.05.2010,07.05.2010
Kao An,movie,https://anidb.net/anime/9180,1,04.07.2009,04.07.2009
Kyoufu Shinbun (2014),none,https://anidb.net/anime/11031,16,28.04.2014,??.??.2014
Mo Fa A Ma,movie,https://anidb.net/anime/8426,1,??.??.1998,??.??.1998
Out of Sight,none,https://anidb.net/anime/8273,1,01.08.2010,01.08.2010
Xing Fu Lu Shang,movie,https://anidb.net/anime/13707,1,15.10.2017,15.10.2017
Yin Shun Daoshi Chuan,movie,https://anidb.net/anime/13579,1,??.??.2003,??.??.2005
Zui Hou Jue Ding Ai Shang Ni,series,https://anidb.net/anime/13746,13,15.11.2015,27.12.2015
